studyYear	programDbId	programName	programDescription	studyDbId	studyName	studyDescription	studyDesign	plotWidth	plotLength	fieldSize	fieldTrialIsPlannedToBeGenotyped	fieldTrialIsPlannedToCross	plantingDate	harvestDate	locationDbId	locationName	germplasmDbId	germplasmName	germplasmSynonyms	observationLevel	observationUnitDbId	observationUnitName	replicate	blockNumber	plotNumber	rowNumber	colNumber	entryType	plantNumber	plantedSeedlotStockDbId	plantedSeedlotStockUniquename	plantedSeedlotCurrentCount	plantedSeedlotCurrentWeightGram	plantedSeedlotBoxName	plantedSeedlotTransactionCount	plantedSeedlotTransactionWeight	plantedSeedlotTransactionDescription	availableGermplasmSeedlotUniquenames	DMCP	FRW	FSWMIK	HIV	notes
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38928	UG120057		plot	40054	UG120057_block:3_plot:TP57_2012_NaCRRI	1	3	57			test											26.6	7	10.5	0.4	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38929	UG120058		plot	40055	UG120058_block:3_plot:TP58_2012_NaCRRI	1	3	58			test											37	0.5	4.5	0.1	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38930	UG120059		plot	40056	UG120059_block:3_plot:TP59_2012_NaCRRI	1	3	59			test											32	1	3	0.25	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38931	UG120060		plot	40057	UG120060_block:3_plot:TP60_2012_NaCRRI	1	3	60			test											24.4	1	4	0.2	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38932	UG120061		plot	40058	UG120061_block:3_plot:TP61_2012_NaCRRI	1	3	61			test											33	16	28	0.36	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38933	UG120062		plot	40059	UG120062_block:3_plot:TP62_2012_NaCRRI	1	3	62			test											43	11	15	0.42	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38934	UG120063		plot	40060	UG120063_block:3_plot:TP63_2012_NaCRRI	1	3	63			test											36.3	9	11	0.45	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38935	UG120064		plot	40061	UG120064_block:3_plot:TP64_2012_NaCRRI	1	3	64			test											40.1	7	9	0.44	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38936	UG120065		plot	40062	UG120065_block:3_plot:TP65_2012_NaCRRI	1	3	65			test											36.8	10	28	0.26	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38937	UG120066		plot	40063	UG120066_block:3_plot:TP66_2012_NaCRRI	1	3	66			test											42.1	10	32	0.24	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38938	UG120067		plot	40064	UG120067_block:4_plot:TP67_2012_NaCRRI	1	4	67			test											34.8	4	6	0.4	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39951	UG120068		plot	40065	UG120068_block:4_plot:TP68_2012_NaCRRI	1	4	68			test												3	2.5	0.55	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38939	UG120069		plot	40066	UG120069_block:4_plot:TP69_2012_NaCRRI	1	4	69			test											31.2	20	28	0.42	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38940	UG120070		plot	40067	UG120070_block:4_plot:TP70_2012_NaCRRI	1	4	70			test											38.1	13	11	0.54	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38941	UG120071		plot	40068	UG120071_block:4_plot:TP71_2012_NaCRRI	1	4	71			test											27.3	10	13	0.43	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38942	UG120072		plot	40069	UG120072_block:4_plot:TP72_2012_NaCRRI	1	4	72			test											28.2	14	16	0.47	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38943	UG120073		plot	40070	UG120073_block:4_plot:TP73_2012_NaCRRI	1	4	73			test											26.4	12	14	0.46	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38944	UG120074		plot	40071	UG120074_block:4_plot:TP74_2012_NaCRRI	1	4	74			test											23.4	18	21	0.46	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39952	UG120075		plot	40072	UG120075_block:4_plot:TP75_2012_NaCRRI	1	4	75			test												0.1	2	0.05	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38945	UG120076		plot	40073	UG120076_block:4_plot:TP76_2012_NaCRRI	1	4	76			test											30.2	3.5	4	0.47	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38946	UG120077		plot	40074	UG120077_block:4_plot:TP77_2012_NaCRRI	1	4	77			test											22.2	2	2	0.5	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38947	UG120078		plot	40075	UG120078_block:4_plot:TP78_2012_NaCRRI	1	4	78			test											42.3	4	9	0.31	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38948	UG120079		plot	40076	UG120079_block:4_plot:TP79_2012_NaCRRI	1	4	79			test													8		
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38949	UG120080		plot	40077	UG120080_block:4_plot:TP80_2012_NaCRRI	1	4	80			test											26.6	16	14	0.53	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38950	UG120081		plot	40078	UG120081_block:4_plot:TP81_2012_NaCRRI	1	4	81			test											19.7	2.5	4	0.38	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38951	UG120082		plot	40079	UG120082_block:4_plot:TP82_2012_NaCRRI	1	4	82			test											32.9	2	3	0.4	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39953	UG120083		plot	40080	UG120083_block:4_plot:TP83_2012_NaCRRI	1	4	83			test											34.7	3	4	0.43	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38952	UG120084		plot	40081	UG120084_block:4_plot:TP84_2012_NaCRRI	1	4	84			test											41.2	6	4	0.6	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38953	UG120085		plot	40082	UG120085_block:4_plot:TP85_2012_NaCRRI	1	4	85			test												4	4.5	0.47	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38954	UG120086		plot	40083	UG120086_block:4_plot:TP86_2012_NaCRRI	1	4	86			test											35.9	2	3	0.4	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38955	UG120087		plot	40084	UG120087_block:4_plot:TP87_2012_NaCRRI	1	4	87			test											34.6	2	2	0.5	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38956	UG120088		plot	40085	UG120088_block:4_plot:TP88_2012_NaCRRI	1	4	88			test											36.8	2.5	3	0.45	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38957	UG120089		plot	40086	UG120089_block:5_plot:TP89_2012_NaCRRI	1	5	89			test											29	10.5	4.8	0.69	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38958	UG120090		plot	40087	UG120090_block:5_plot:TP90_2012_NaCRRI	1	5	90			test											34.2	4.5	5	0.47	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38959	UG120091		plot	40088	UG120091_block:5_plot:TP91_2012_NaCRRI	1	5	91			test											32.5	5.3	4.6	0.54	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38960	UG120092		plot	40089	UG120092_block:5_plot:TP92_2012_NaCRRI	1	5	92			test											30.1	6.1	4.1	0.6	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38961	UG120093		plot	40090	UG120093_block:5_plot:TP93_2012_NaCRRI	1	5	93			test											26.2	6.7	4.1	0.62	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39954	UG120094		plot	40091	UG120094_block:5_plot:TP94_2012_NaCRRI	1	5	94			test											18.4	3.8	2.3	0.62	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38962	UG120095		plot	40092	UG120095_block:5_plot:TP95_2012_NaCRRI	1	5	95			test											40.8	2.3	3	0.43	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38963	UG120096		plot	40093	UG120096_block:5_plot:TP96_2012_NaCRRI	1	5	96			test											42.6	6.4	8.4	0.43	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38964	UG120097		plot	40094	UG120097_block:5_plot:TP97_2012_NaCRRI	1	5	97			test											41.2	5.9	9.8	0.38	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38965	UG120098		plot	40095	UG120098_block:5_plot:TP98_2012_NaCRRI	1	5	98			test											34.9	7.3	24	0.23	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38966	UG120099		plot	40096	UG120099_block:5_plot:TP99_2012_NaCRRI	1	5	99			test												0.1	7	0.01	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38967	UG120100		plot	40097	UG120100_block:5_plot:TP100_2012_NaCRRI	1	5	100			test											23.6	2.5	9.2	0.21	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38968	UG120101		plot	40098	UG120101_block:5_plot:TP101_2012_NaCRRI	1	5	101			test											33.4	6	7.3	0.45	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38969	UG120102		plot	40099	UG120102_block:5_plot:TP102_2012_NaCRRI	1	5	102			test											29.8	3.2	5.3	0.38	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38970	UG120103		plot	40100	UG120103_block:5_plot:TP103_2012_NaCRRI	1	5	103			test											28.3	1.5	5.8	0.21	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39955	UG120104		plot	40101	UG120104_block:5_plot:TP104_2012_NaCRRI	1	5	104			test											20.5	2	2.7	0.43	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38971	UG120105		plot	40102	UG120105_block:5_plot:TP105_2012_NaCRRI	1	5	105			test											37.1	4.4	9.8	0.31	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38972	UG120106		plot	40103	UG120106_block:5_plot:TP106_2012_NaCRRI	1	5	106			test											38.7	3.9	7.8	0.33	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38973	UG120107		plot	40104	UG120107_block:5_plot:TP107_2012_NaCRRI	1	5	107			test											33.6	7.2	25	0.22	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38974	UG120108		plot	40105	UG120108_block:5_plot:TP108_2012_NaCRRI	1	5	108			test											29.8	3.9	16	0.2	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38975	UG120109		plot	40106	UG120109_block:5_plot:TP109_2012_NaCRRI	1	5	109			test											33.3	7.4	14.3	0.34	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39956	UG120110		plot	40107	UG120110_block:5_plot:TP110_2012_NaCRRI	1	5	110			test											37	2.4	2.6	0.48	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38976	UG120111		plot	40108	UG120111_block:6_plot:TP111_2012_NaCRRI	1	6	111			test											31.4	0.9	3.1	0.23	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39957	UG120112		plot	40109	UG120112_block:6_plot:TP112_2012_NaCRRI	1	6	112			test												4.4	7.6	0.37	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38977	UG120113		plot	40110	UG120113_block:6_plot:TP113_2012_NaCRRI	1	6	113			test											36.2	1.7	6.5	0.21	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39958	UG120114		plot	40111	UG120114_block:6_plot:TP114_2012_NaCRRI	1	6	114			test											20.8	1.4	3.2	0.3	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38978	UG120115		plot	40112	UG120115_block:6_plot:TP115_2012_NaCRRI	1	6	115			test											37.9	8.3	15.9	0.34	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38979	UG120116		plot	40113	UG120116_block:6_plot:TP116_2012_NaCRRI	1	6	116			test											37.2	10.8	33.2	0.25	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38980	UG120117		plot	40114	UG120117_block:6_plot:TP117_2012_NaCRRI	1	6	117			test											33.7	2.5	9.4	0.21	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	39959	UG120118		plot	40115	UG120118_block:6_plot:TP118_2012_NaCRRI	1	6	118			test												3.4	13.3	0.2	
